"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","DPM1",-0.111697430171918,4.74296244195886,-0.985513074456852,0.324958667962225,0.837866806492456,-5.16137228073682
"2","SCYL3",0.000214851297588581,3.74688162482288,0.00174681628123403,0.998607100376312,0.999373404866109,-5.48575509862675
"3","C1orf112",-0.00558661147765704,2.38486644832285,-0.0428444399621497,0.965846587564855,0.996179841434414,-5.34367688658316
"4","FGR",0.0213518191060835,8.00788575621016,0.144113382803344,0.885482396580436,0.982877806922685,-5.62226582945998
"5","FUCA2",0.145528267855745,3.16672859318715,1.25626184155072,0.2097429627735,0.782200421844463,-4.77909943117722
"6","GCLC",0.0856286007359737,5.62378745950697,0.823169775491348,0.410894382626389,0.881887731890479,-5.32964505260299
"7","NFYA",0.0127173294462932,6.18851231854394,0.168292036194092,0.866437287794258,0.978947557917263,-5.62608084019775
"8","STPG1",-0.157664112935105,2.02002897670673,-1.3874821509735,0.166055378989213,0.745302486487374,-4.5817599376828
"9","NIPAL3",-0.0970586976260872,4.3424353356776,-0.887813903353303,0.375166168696607,0.862815643262387,-5.211030468518
"10","ENPP4",-0.310712057117262,5.31559555295253,-2.40332894992812,0.0166939270428127,0.567123105680225,-3.11672166297759
"11","ANKIB1",-0.0247707006188742,6.20530153385351,-0.454890963478334,0.649430663619879,0.936249098696495,-5.54713200583485
"12","CYP51A1",-0.128608677434383,5.34756807105028,-0.862893697642707,0.388705012070225,0.869456896187843,-5.29116375143113
"13","KRIT1",0.128510342538605,5.31801530972578,1.74644751220505,0.0814889984755376,0.685846782110959,-4.28957847939382
"14","RAD52",-0.05317528341851,3.44819080979928,-0.495639735171435,0.620416610105627,0.930296835489433,-5.34775597858153
"15","BAD",-0.039995512495073,3.45682674581488,-0.34598779325528,0.729530989446113,0.953850691063079,-5.39816616296915
"16","LAP3",-0.189171232764341,4.55923884466738,-2.09802937728712,0.0365196763285437,0.617325672590101,-3.6877458482377
"17","HS3ST1",0.515519591844903,3.00661584752801,1.98392476652393,0.0479368189861723,0.63839475592138,-3.8289515113346
"18","WNT16",-0.172856822375308,3.46322983409583,-0.781332730904426,0.43506189661979,0.889695013252646,-5.18743072777636
"19","MAD1L1",0.157476754927411,5.20450513302246,1.48364500308088,0.138678495742778,0.722930033027551,-4.64890355355308
"20","LASP1",-0.0253986001831481,7.23327773024626,-0.365317143719472,0.715064799306177,0.952283235277832,-5.58016464063956
"21","SNX11",-0.230980309786001,4.77895410577525,-2.64442262574729,0.00850012684822275,0.488671271678868,-2.59315211291586
"22","M6PR",-0.0452024252768664,5.31093600217043,-0.478409911062317,0.632615828356489,0.933734293713002,-5.51208013576257
"23","DBNDD1",-0.0357510371282281,2.80284973238345,-0.15365690531427,0.877956561008565,0.981389453370171,-5.35614569182173
"24","ALS2",-0.0780627072617484,4.37230645947378,-1.25410538010514,0.210524812556097,0.782200421844463,-4.8805349593471
"25","CASP10",-0.26177270806159,2.33910162004328,-1.13378100398575,0.257555007800955,0.802822685248593,-4.83946022863295
"26","CFLAR",-0.122837533849501,8.86375963912506,-1.34314463043907,0.179974981396867,0.752653682657835,-4.84161264319829
"27","NDUFAF7",0.0703259314836397,3.85355753819258,0.893813445782874,0.371950893373375,0.859596037061612,-5.15855279176546
"28","RBM5",0.0415908596249666,7.9197471853676,0.811123620548732,0.417769614667225,0.883491012564518,-5.34368329966389
"29","MTMR7",0.0572927296740023,1.48931153314886,0.686293769136701,0.492919367133453,0.907250341090837,-5.0990812944239
"30","ARF5",0.0158699332479757,6.67191940249282,0.248556964661934,0.803829098014887,0.968510454491056,-5.61474554805505
"31","SARM1",0.136769692132113,4.5163270240195,1.55529785573483,0.12065378337582,0.713710417031432,-4.52639269472782
"32","POLDIP2",0.023453611772482,5.63724499272654,0.41500589892212,0.678356657147915,0.942917432120722,-5.54890881836268
"33","PLXND1",0.149825484101398,6.02807856251448,0.645726339599914,0.518821140992119,0.907889184161126,-5.45022412886127
"34","AK2",0.070172739491972,5.62077563309956,0.685749820945834,0.493262011007511,0.907250341090837,-5.41839207687857
"35","FKBP4",0.00912374530725213,4.88180489320598,0.100380466292387,0.920091794090193,0.989070323579666,-5.58356346920806
"36","KDM1A",0.0196843792855028,5.94204089007063,0.430027206466252,0.667403857770473,0.940494188509351,-5.55235760869625
"37","RBM6",-0.014868624227895,7.45277577890214,-0.219703137532003,0.826212708578896,0.973043040745722,-5.61469946890787
"38","CAMKK1",-0.0656795379882897,4.01791298542791,-0.415266548427187,0.678166013291137,0.942917432120722,-5.44382906583443
"39","RECQL",-0.108101742484354,5.15627009001154,-1.49456243294678,0.135804974714482,0.720331080005047,-4.63576725894763
"40","VPS50",0.0438793451566548,4.49090804428166,0.694646028702938,0.487674222140091,0.907250341090837,-5.35379175990933
"41","ARHGAP33",0.184601842099545,4.85339709093052,1.81338964312825,0.0705095025425816,0.677590890986623,-4.17320439664301
"42","NDUFAB1",-0.0843013094797627,2.8047470392112,-0.772750699909439,0.440119270346264,0.892186504061243,-5.14122956322431
"43","SLC25A13",0.0347918686222117,4.34150125415229,0.654090817237866,0.513423375612872,0.907889184161126,-5.36588333329161
"44","ST7",0.145078557228622,3.29439992858114,0.800900744086898,0.423657238410455,0.886287787021053,-5.17647834838887
"45","CDC27",0.00608310385151878,5.98936964129391,0.0872559889623056,0.930511027043111,0.989584115189743,-5.63168308263737
"46","DVL2",0.0393487857056956,6.03546779384668,0.475003544760187,0.6350397010312,0.933734293713002,-5.53668092518824
"47","UPF1",-0.0925927719872588,7.17015549573171,-1.16816982226577,0.243423334153684,0.797240328762572,-5.04089919005915
"48","SKAP2",-0.089383598984869,4.95811444016324,-0.743533069085794,0.457588783110885,0.898935354238689,-5.35672320584013
"49","MCUB",0.114855375209391,5.74683867644845,1.17222239293267,0.241794712057709,0.797161757600068,-5.02756724377902
"50","POLR2J",0.0654776866851521,3.77217835519499,1.08661691985427,0.277850431661541,0.814043636517454,-4.99197115667633
"51","DHX33",-0.100577605422955,3.75083743270486,-1.20646564969672,0.228340067123835,0.787578281063803,-4.88427195976409
"52","LIG3",0.0861095581566258,4.50363101481838,1.08446838891967,0.278800312135592,0.814298124825751,-5.05502091844204
"53","RPAP3",0.0155262404499448,4.29989008679522,0.135016722111971,0.892665520260246,0.983185609745225,-5.52872560554234
"54","ACSM3",0.14597921593201,4.10371541792976,0.83591995789253,0.403691298422627,0.877817084027873,-5.22821701985488
"55","CIAPIN1",-0.0245906173454427,4.36213115052043,-0.364588963809353,0.7156079533999,0.952283235277832,-5.48950456548287
"56","SPPL2B",-0.121502619819739,6.32935231269151,-1.08775232959787,0.277349353340837,0.813085238891171,-5.12157582685921
"57","FAM214B",-0.172418023179444,4.04007603120143,-1.54313565201642,0.12357641479923,0.715812923041579,-4.51223518321716
"58","CREBBP",-0.0555356921269059,9.09761831341169,-0.738902825290923,0.460392680139571,0.90076911927783,-5.39050275946899
"59","TSPOAP1",0.023888855966129,4.42228582126611,0.148787740393625,0.881794950381198,0.982523578440237,-5.53562772610791
"60","GCFC2",0.00318125892380339,4.30295195149573,0.0422823884472131,0.966294357125956,0.996179841434414,-5.54135619255969
"61","WDR54",-0.0987906531208835,3.08167896171378,-1.14281252669352,0.253789456362276,0.802669858152128,-4.88082833275696
"62","CROT",-0.0131442960287682,2.76813852365031,-0.174050491421293,0.861912476583659,0.978947557917263,-5.36538307055542
