"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","DPM1",0.71283670501811,4.92057276502367,3.50937773544676,0.00072206144598775,0.00916205388740857,-1.89776445329818
"2","SCYL3",-0.352004213841667,3.46674727804202,-1.38729100081871,0.168993388551412,0.356944172447753,-6.54203183696101
"3","C1orf112",0.00693158107987757,2.28936129106656,0.0253760107581556,0.97981474924504,0.990348235049138,-7.34559625952463
"4","FGR",-0.741247294842395,7.50736773379473,-2.49097238508049,0.0146914332088548,0.0757984303006653,-4.72010281982848
"5","FUCA2",-0.111431072209366,3.07648622145476,-0.414678358706787,0.67942601298137,0.819061976600791,-7.30837416951319
"6","GCLC",0.299870757862627,5.76658630584429,1.50064390045746,0.137167125484685,0.312486874027365,-6.60401165058721
"7","NFYA",-0.0578011902027815,6.00662478194904,-0.377564829917437,0.706698552276613,0.839267538901969,-7.6684786240492
"8","STPG1",-0.495533403936785,1.62681791423244,-1.63774757392584,0.105185184066572,0.264454455475186,-5.84004495334062
"9","NIPAL3",-0.196323902372172,3.9818130028847,-0.801898168206055,0.424856445180212,0.622855580952877,-7.17986681507824
"10","LAS1L",-0.125090039298525,5.53857418042231,-1.1533833872636,0.251998147421511,0.453456601543571,-7.06627563245076
"11","ENPP4",0.409255909564746,5.4773344529476,1.49956227419661,0.137446876396569,0.312936333752838,-6.6027875339091
"12","ANKIB1",0.182365962707051,6.1636385508085,1.26671885704199,0.208728849784635,0.40197203308657,-6.93999821528884
"13","CYP51A1",0.384887074935028,5.41141007502377,1.22121312606269,0.225394476539792,0.422207107693873,-6.96870522839669
"14","KRIT1",-0.282518685525028,5.121801606211,-1.61599200824769,0.109815739603648,0.271741495770809,-6.41159464505516
"15","RAD52",-0.27461985424707,3.02889974073123,-1.14926956269463,0.253680513781447,0.455288941811328,-6.81108262890886
"16","BAD",-0.682818943090109,2.9427928430251,-2.35147268949247,0.0210213076894281,0.0952579086781823,-4.61937855772723
"17","LAP3",0.351248990098461,4.67587599191835,1.31042372735007,0.193595700635684,0.384519067980384,-6.78889697620632
"18","CD99",-0.26390405060969,6.70694221796505,-1.34998231552095,0.180619108841574,0.370239363242642,-6.83591168690994
"19","HS3ST1",-1.27374957251691,2.23932636518634,-1.95034592162543,0.0544428938234695,0.175333497516589,-5.40900077362477
"20","WNT16",-2.07777737139017,1.92739522034728,-3.6154566292105,0.000508269659663522,0.00693663101098167,-1.23193001983058
"21","MAD1L1",-0.945789013887289,4.76754489463092,-3.27375542286254,0.00153782295414858,0.0161180993980231,-2.58818788337418
"22","LASP1",0.276845553911853,7.22290434003825,1.74648892968675,0.084352127180822,0.231759557353249,-6.23094267177099
"23","SNX11",0.301032945415309,4.82318958085526,1.43564121275667,0.15478806843059,0.337964581783164,-6.6296605284123
"24","M6PR",-0.151697685020917,5.10848118646704,-0.82008175930009,0.414471872028138,0.613106951197861,-7.37240189647065
"25","DBNDD1",-0.0239584662079995,2.89797678592526,-0.0614593407686742,0.951138218864294,0.977295410022487,-7.44465828516162
"26","ALS2",0.196768119862172,4.28607611012104,1.65557775643107,0.101508848348293,0.258711049092358,-6.2801540050626
"27","CASP10",0.704765668473848,2.23361588680499,1.66495842679367,0.0996168961290364,0.255719636712263,-6.09025319598762
"28","CFLAR",0.111199883885773,8.93972114822301,0.536358218825261,0.593117224112628,0.761403375595625,-7.58054926927728
"29","NDUFAF7",0.3644072884729,3.8963874434134,2.05644923425695,0.0428178124956803,0.149772390347285,-5.5357990771055
"30","RBM5",0.248254780434601,7.91963816643112,2.14842408697069,0.0345357181494943,0.130983987970178,-5.46449971930006
"31","MTMR7",-6.19895716131263,-1.7002195134648,-19.2886445045042,9.81679977655953e-33,2.15876983765663e-30,63.7987910729448
"32","ARF5",-0.191450147098144,6.45081712242721,-1.41352756790643,0.161166224564023,0.346653048698254,-6.74654716056531
"33","SARM1",0.914368652963484,4.81140072361955,4.73451683795752,8.72618643791377e-06,0.000195960891972803,2.37258147429458
"34","POLDIP2",-0.131460158940891,5.4871970424941,-1.22603904369031,0.223582523081873,0.420203731665118,-6.96813552117551
"35","PLXND1",0.332076525614666,6.2556893331641,0.791537849800146,0.430841753072698,0.628310889897685,-7.42909195652323
"36","AK2",-0.254511627044204,5.36188913658622,-1.14413489569665,0.255791503418679,0.457106711491062,-7.05394602598297
"37","FKBP4",-0.0719857610372814,4.61735503354068,-0.360180820581001,0.719608712374672,0.84649167770759,-7.58616007110217
"38","KDM1A",0.211392635360986,5.8547213152231,1.79053012097885,0.0769424336585984,0.217627845208379,-6.14861541578981
"39","RBM6",-0.03339213618142,7.26382339228737,-0.220183374036208,0.826258292092498,0.910469924774328,-7.71814006626058
"40","CAMKK1",0.213142886260862,3.76466127422407,0.705776103426752,0.482264486208585,0.671299723726389,-7.36952474199267
"41","RECQL",0.660461706639743,5.48424459101292,3.92440294480175,0.000176327587783918,0.002940054414337,-0.585868120919217
"42","VPS50",-0.0810682257787754,4.34440657683743,-0.535806082639992,0.593497124271715,0.761587992454502,-7.49623374226863
"43","ARHGAP33",-0.133857045630588,4.60178908463539,-0.5617328617487,0.575781772655333,0.748131166142465,-7.51604440703465
"44","NDUFAB1",0.327106970799639,2.93641756311727,1.73371538449531,0.0866080099145834,0.235130760669571,-5.94999041119212
"45","SLC25A13",0.186548558795876,4.28256844949841,1.6960581606446,0.0935484287459732,0.246341377549552,-6.22219866521681
"46","ST7",0.312318701915034,3.53032441736911,0.938527243318382,0.350642750316082,0.553832943989657,-6.89853875043541
"47","CDC27",0.213333268126205,5.96781009071525,1.13869397455232,0.258041926171422,0.459565545764008,-7.09175055369354
"48","HCCS",0.225266942639813,4.8852602757515,1.22605471738009,0.223576655516762,0.420203731665118,-6.9465933916142
"49","DVL2",-0.37360360778534,5.58511086182127,-1.88488464538834,0.0628754232213764,0.192339385208699,-5.97359811146147
"50","UPF1",0.081026718697669,7.02049648098094,0.410767828654783,0.682280349739055,0.820708051256282,-7.65711060389797
"51","SKAP2",-0.378823136631449,4.68441501749214,-1.30487943621288,0.195468757493625,0.386226674513649,-6.7830080822506
